source,target
349,1038
349,4173
349,349
349,1137
349,349
349,11770
349,515
349,8891
349,12852
349,3800
349,1038
349,4173
349,8349
349,3084
349,3087
349,4173
349,1038
4587,4587
4587,33181
4587,63611
4587,4587
4587,110380
4587,9780
4587,4587
4587,53574
4587,2710
4587,8891
4587,44038
9780,44796
9780,9780
9780,77896
9780,4587
9780,110380
9780,9780
9780,1897
9780,18471
9780,74036
9780,35705
9780,143242
9780,134
9780,56323
9780,3223
9780,16828
9780,103
19011,19011
19011,1189929
19011,7904
19011,19011
19011,134328
19011,19011
19011,146687
19011,2801284
19011,19011
19011,1670479
19011,1625013
19011,84384
19011,1322032
19011,1322033
19011,1700943
19011,938972
19011,1236595
19011,2130
19011,16431
19011,2203
146687,2203808
146687,146687
146687,1189929
146687,19011
146687,146687
146687,1442410
146687,1442411
146687,1306064
146687,174981
146687,28626
146687,3614
146687,37759
146687,20056
146687,2330903
1122373,1122373
1122373,1122374
1122373,1122375
1122374,1122373
1122374,1122374
1122374,1122375
1122375,1122373
1122375,1122374
1122375,1122375
11367,8349
11367,11367
11367,31028
31028,8349
31028,11367
31028,31028
31028,287
31028,192
31028,12052
3266,3266
3266,26009
3266,1067583
3266,3266
3266,8349
3266,36059
3266,33
3266,3266
3266,5149
3266,2710
3266,2144
3266,141
3266,2505
36059,36059
36059,8213
36059,6104
36059,36059
36059,10698
36059,3266
36059,8349
36059,36059
1179102,8349
1179102,1179102
21010,21010
21010,8349
21010,101032
21010,21010
21010,76184
21010,21010
21010,30672
21010,1183966
21010,45002
21010,20861
21010,39770
21010,34721
21010,16896
21010,8857
21010,15395
101032,21010
101032,8349
101032,101032
928944,928944
928944,2022250
928944,9979
2022250,928944
2022250,2022250
2022250,9979
9979,9979
9979,56890
9979,46393
9979,9979
9979,8893
9979,1162
9979,9979
9979,9789
9979,6449
9979,9979
9979,20212
9979,1204
9979,21818
9979,9979
9979,928944
9979,2022250
9979,9979
9979,1204293
9979,9979
9979,27116
9979,9979
9979,1066777
9979,65013
9979,4808
9979,7447
9979,9560
9979,67315
9979,2734157
9979,2045089
9979,4687
514,514
514,7071
514,518
514,514
514,10409
514,7077
514,514
514,6193
514,1892
514,514
514,240
514,56890
514,34947
514,1262612
514,21200
514,61110
514,707
6193,6193
6193,103
6193,2282
6193,6193
6193,3899
6193,24045
6193,6193
6193,21007
6193,234352
6193,514
6193,6193
6193,1892
6193,134
6193,27319
6193,6193
6193,9261
1892,1892
1892,2157
1892,880
1892,1892
1892,3894
1892,19498
1892,31
1892,1892
1892,3197
1892,1892
1892,514
1892,6193
1892,1892
1892,53
1892,28782
1892,10297
1892,83002
1892,1813
1892,3810
1892,72305
1892,44735
7796,11665
7796,7796
7796,2171
7796,7796
7796,851784
7796,176557
7796,19453
7796,1141310
7796,81316
7796,10767
7796,1366083
7796,11477
7796,380
7796,4517
851784,204
851784,851784
851784,20508
851784,7796
851784,851784
851784,10297
851784,83002
851784,1813
125025,125025
125025,2034418
125025,518627
125025,125025
125025,1535219
125025,125025
125025,122889
125025,21029
125025,123725
125025,125025
125025,7796
125025,851784
125025,76512
125025,6046
122889,125025
122889,122889
122889,57637
122889,69230
2641,2641
2641,1205143
2641,1205144
2641,2641
2641,72028
2641,9805
2641,2641
2641,2282
2641,24589
2641,24590
2641,11770
2641,515
2641,57905
2641,18589
2641,105270
2641,2638
2641,2639
2641,2091
72028,2641
72028,72028
72028,47879
72028,104895
72028,59846
4724,4724
4724,1339982
4724,4724
4724,66743
4724,1461
4724,69342
4724,1524
66743,4724
66743,66743
66743,1461
66743,163630
66743,5374
1461,4724
1461,66743
1461,1461
1461,1158
1461,134
1461,190
1461,14701
1461,6449
1461,2161106
1461,2161107
1461,2161104
2098136,2098136
2098136,2098137
2098137,2098136
2098137,2098137
9857,3084
9857,9857
9857,5248
9857,7447
9857,9560
5248,32377
5248,5248
5248,9762
5248,3084
5248,9857
5248,5248
5248,1936
5248,5247
5248,5248
5248,30233
5248,19550
5248,80237
1158,1158
1158,1159
1158,1160
1158,1158
1158,3084
1158,3085
1158,1158
1158,380
1158,3087
1158,1158
1158,134
1158,1158
1158,3084
1158,1158
1158,39996
1158,1032
1158,380
3085,1158
3085,3084
3085,3085
3085,22082
3085,3085
3085,1158
3085,3084
3085,7447
3085,9560
3085,2057865
3085,1778612
3085,1848881
3085,1158
3085,380
3085,3087
1662371,1662371
1662371,3084
82702,82702
82702,1227278
82702,2636676
82702,82702
82702,134710
82702,134711
82702,82702
82702,2687948
82702,108881
82702,82702
82702,926
82702,1905
82702,82702
82702,4610
82702,16178
82702,82702
82702,10750
82702,1234966
82702,82702
82702,65605
82702,47775
82702,82702
82702,2426206
82702,2284427
82702,82702
82702,5657
82702,82702
82702,11510
82702,82702
82702,108881
82702,82702
82702,18793
82702,82702
82702,11510
82702,82702
82702,110001
82702,8851
82702,16303
82702,66586
82702,122750
82702,109897
82702,6352
82702,13301
82702,54421
82702,53397
82702,1201284
82702,140567
82702,20156
82702,4347
82702,4299
82702,37934
82702,15310
82702,45042
82702,553721
82702,1789239
65605,65605
65605,990578
65605,1056814
65605,82702
65605,65605
65605,47775
65605,65605
65605,107375
65605,65605
65605,2712640
65605,65605
65605,65606
65605,107375
65605,65605
65605,87919
65605,65605
47775,82702
47775,65605
47775,47775
4483,4483
4483,13570
4483,3417
4483,4135
4483,4483
4483,13717
4483,73931
4483,4483
4483,142439
4483,4483
4483,109404
4483,4483
4483,863
4483,7447
4483,9560
4483,21278
4483,13724
4483,9979
4483,9789
4483,6449
4483,10400
4483,19803
4483,1084298
13570,4483
13570,13570
13570,3417
3417,4483
3417,13570
3417,3417
3417,12021
3417,349
3417,18248
3417,35
3417,21399
3417,21278
3417,13724
6729,6729
6729,491
6729,8406
491,6729
491,491
491,8406
491,491
491,1221217
491,2297235
491,491
491,10930
491,2140901
491,130
491,33185
8406,6729
8406,491
8406,8406
8406,3037
8406,4951
8406,1776
8406,14782
8406,190
8406,147
103829,103829
103829,3087
103829,515
515,32396
515,515
515,36190
515,44712
515,2056726
515,515
515,103829
515,3087
515,515
515,11770
515,515
515,66776
515,40389
515,5699
380,380
380,1038
380,13
380,380
380,4512
380,4513
380,380
380,4430
380,4517
380,380
380,4517
380,14702
380,380
380,4690
380,3096
380,380
380,45001
380,1158
380,380
380,3087
380,11477
380,380
380,4517
380,73421
380,380
380,1545693
380,1032
380,380
380,1259
380,19665
380,1032
380,1006721
380,67773
380,3092
380,519
380,73641
380,1202593
380,33684
380,138986
380,53397
380,7904
380,138986
380,7447
380,85564
380,2255261
380,4960
380,15753
380,61110
380,707
84678,84678
84678,174982
84678,10823
84678,84678
84678,28767
84678,1504297
84678,84678
84678,230198
84678,230199
84678,84678
84678,28767
84678,84678
84678,1215645
84678,87026
84678,84678
84678,28767
84678,201417
84678,84678
84678,1504297
84678,2681602
84678,84678
84678,1253615
84678,70274
84678,84678
84678,28767
84678,1559401
84678,84678
84678,28767
84678,84678
84678,1504296
84678,84678
84678,10823
84678,84678
84678,1555968
84678,84678
84678,15425
84678,84678
84678,10823
84678,84678
84678,1347896
84678,84678
84678,3087
84678,84678
84678,28767
84678,84678
84678,230249
84678,84678
84678,368
84678,33684
84678,181452
84678,84678
84678,1487
84678,1490
84678,84678
84678,111270
84678,8261
84678,84678
84678,1487
84678,84678
84678,230253
84678,84678
84678,111270
84678,10823
84678,8261
84678,67773
84678,80625
84678,230253
84678,1251736
84678,8261
84678,111270
84678,230253
84678,1066389
84678,1251736
84678,57446
84678,215486
84678,1161962
84678,37934
84678,15310
106179,106179
106179,4959
106179,78934
106179,106179
106179,10190
106179,5250
106179,33741
106179,106179
106179,70985
10190,106179
10190,10190
10190,5250
10190,50967
10190,10190
5250,106179
5250,10190
5250,5250
5250,1936
5250,5247
5250,5248
5250,940155
5250,86104
5250,231773
3810,3810
3810,72305
3810,44735
3810,2744
3810,3131
3810,98357
72305,3810
72305,72305
72305,44735
72305,2282
72305,72305
72305,34902
72305,72305
44735,3810
44735,72305
44735,44735
3037,3037
3037,4951
3037,1776
3037,3037
3037,18972
3037,3037
3037,2687
3037,1
3037,1776
3037,155890
3037,2210813
3037,2879828
4951,3037
4951,4951
4951,1776
8487,8487
8487,8490
8487,6838
8487,20156
8487,4347
8487,4299
8487,1032
8487,1150
8487,1776
8490,8487
8490,8490
8490,6838
8490,1158
8490,380
8490,3087
6838,8487
6838,8490
6838,6838
7073,7073
7073,27991
7073,77330
7073,59645
7073,69951
7073,514
7073,7071
7073,518
7073,1452828
7073,5141
7073,5139
7073,5140
27991,35473
27991,23446
27991,27991
27991,7073
27991,27991
27991,44038
27991,11784
44038,8891
44038,44038
44038,2115
44038,44038
44038,11784
44038,12235
44038,19665
44038,1150
44038,67877
44038,66776
44038,71010
11784,44038
11784,11784
11784,2231
11784,2047
1415341,1415341
1415341,64
1415341,1267653
1267653,1415341
1267653,64
1267653,1267653
1003,1003
1003,524
1003,64
1003,24501
1003,39646
1003,136761
1003,544269
1003,28626
1003,3614
524,1003
524,524
524,64
524,524
524,225009
524,3810
524,72305
524,44735
524,3223
524,16828
524,103
3894,3894
3894,6968
3894,3895
3894,3894
3894,1810
3894,3895
3894,1892
3894,3894
3894,19498
3894,11669
3894,43120
3894,53926
3894,34947
3894,1262612
3894,21200
1810,3894
1810,1810
1810,3895
1810,53
1810,28782
1810,34947
1810,1262612
1810,21200
3895,3894
3895,1810
3895,3895
3895,3894
3895,6968
3895,3895
3895,10297
3895,83002
3895,1813
3895,9979
3895,9789
3895,6449
3895,834
3895,16523
3895,6952
3895,114454
3895,6193
3895,3899
3895,24045
3895,29704
3895,1913149
10980,10980
10980,10989
10980,10990
10980,10980
10980,10989
10980,10990
10980,475512
10980,56323
10989,10989
10989,4391
10989,10980
10989,10989
10989,10990
10989,10980
10989,10989
10989,10990
10990,10980
10990,10989
10990,10990
10990,10980
10990,10989
10990,10990
10990,36592
10990,1373737
10990,10990
219479,219479
219479,1101349
1101349,1744249
1101349,1101349
1101349,219479
1101349,1101349
1101349,1101342
1101349,1101343
1101349,1016349
1101349,89056
1101349,1101364
1101349,1101343
1101349,108661
1101349,214830
1101349,1070445
5064,5064
5064,1776
5064,488
5064,5064
5064,190
5064,5064
5064,1277188
5064,380
5064,4690
5064,3096
5064,10400
5064,36592
5064,1373737
5064,10990
5064,10215
5064,230194
5064,325
5064,1158
5064,134
5064,2231
5064,1
5064,21278
5064,13724
488,488
488,13848
488,5064
488,1776
488,488
488,3037
488,4951
488,1776
488,9261
488,2227
488,500
488,3
488,738
488,2297235
488,491
488,30807
488,670
488,1032
488,1006721
488,2231
488,1
488,2154
488,2152
488,325
488,1306064
488,174981
488,4430
488,6449
2559324,1776
2559324,2559324
27888,1776
27888,27888
27888,227
2303,2303
2303,1776
2303,5293
2303,1296936
2303,2303
2303,1310844
2303,2778
2303,5602
2303,4956
2303,69036
2303,2778
2303,1499594
2303,1061561
2303,1018937
5293,5293
5293,86034
5293,32887
5293,5293
5293,1152
5293,5293
5293,569
5293,5293
5293,2303
5293,1776
5293,5293
5293,5469
5293,1164
5293,1291350
5293,32592
5293,1434355
5293,189747
5293,285917
5293,1731598
5293,118415
5293,20715
5293,5602
5293,6586
1,1
1,1776
1,1
1,1169636
1,1
1,71538
1,1
1,489
1,1021364
1,1
1,2231
1,1
1,12898
1,31
1,1032
1,1150
1,1776
1,2297235
1,491
1,3037
1,4951
1,1776
1,3
1,738
1,11770
1,515
1,1032
1,1006721
1,4
1,3799
1,130
1,10930
1,2140901
1,130
1,33185
1,9979
1,9789
1,6449
1032,1032
1032,1130441
1032,108650
1032,1032
1032,1150
1032,1776
1032,1130439
1032,1032
1032,108650
1032,1665042
1032,1032
1032,1867
1032,1032
1032,1006721
1032,1032
1032,380
1032,224
1032,1032
1032,72861
1032,941022
1032,1032
1032,102429
1032,6159
1032,5168
1032,70035
1032,39012
1032,2636
1032,1077703
1032,132305
1032,5026
1032,3037
1032,4951
1032,1776
1032,40223
1032,11770
1032,1052109
1032,1052107
1032,1146050
1032,380
1032,1038
1032,13
1032,155890
1032,2210813
1032,2879828
1032,9979
1032,9789
1032,6449
1032,380
1032,4517
1032,14702
1150,1032
1150,1150
1150,1776
1150,1150
1150,67877
1150,1979
1150,16294
1150,1259
1150,19665
489,1
489,489
489,5064
489,190
489,3
489,738
55983,55983
55983,7908
55983,55983
55983,7908
55983,64180
55983,97185
55983,164131
55983,4
55983,3799
55983,130
55983,17483
55983,6238
7908,7908
7908,68455
7908,360193
7908,7908
7908,68455
7908,55983
7908,7908
7908,55983
7908,7908
7908,2
7908,4
7908,6
7908,2
7908,3
7908,4
7908,67367
7908,224513
7908,64180
7908,97185
7908,164131
7908,4
7908,3799
7908,130
7908,33185
134,134
134,27319
134,6193
134,134
134,56323
134,135651
134,60073
134,134
134,1158
134,134
134,6046
134,20208
134,325
134,8851
134,979952
134,84445
134,197833
134,9309
134,57551
134,5726
1006721,1032
1006721,1006721
1006721,380
1006721,4517
1006721,14702
1006721,11477
1006721,380
1006721,4517
14538,564
14538,14538
14538,7779
7779,564
7779,14538
7779,7779
7779,69342
7779,1524
1820819,1820819
1820819,564
1820819,569
569,569
569,235416
569,1284
569,2157
569,569
569,2692
569,569
569,5293
569,1820819
569,564
569,569
46300,46300
46300,529
27889,27889
27889,1331
1331,1331
1331,1371
1331,207922
1331,27889
1331,1331
1331,6384
1331,2975
1331,530
1331,6384
1331,2975
1331,37625
1331,65731
1331,4937
1331,109
1331,1327
1331,882
1331,109
1331,1327
1331,882
1331,109
1331,1327
1331,882
10850,10850
10850,3223
10850,55499
10850,10850
10850,113674
10850,10850
10850,172069
10850,1215522
10850,10850
10850,16828
10850,3223
10850,1643142
10850,7626
10850,1245564
3223,3223
3223,74568
3223,16828
3223,3223
3223,16828
3223,103
3223,10850
3223,3223
3223,16828
3223,3223
3223,564
3223,584
3223,9048
3223,7624
3223,91606
3223,172069
3223,1215522
3223,10850
1408141,1408141
1408141,180659
1386798,2787630
1386798,1386798
100709,2787630
100709,100709
21111,21111
21111,1050881
21111,21111
21111,1802110
21111,2787630
21111,21111
21111,2102583
21111,73988
21111,7571
21111,84378
21111,1420
21111,2102600
21111,106843
21111,87485
21111,2020883
21111,2787630
21111,2803017
21111,524
21111,225009
21111,1670479
21111,1625013
21111,84384
21111,5082
21111,2349331
21111,1262093
21111,559610
21111,2198533
21111,2699648
21111,1103791
21111,95678
2802990,2787630
2802990,2802990
2803001,2787630
2803001,2803001
